,Corr,P
904.4172,0.17627062629299653,0.016098261393527137
920.4707,0.2918756864416457,5.295400107981989e-05
945.6674,-0.012665191075639596,0.8637735254537304
958.5416,-0.08075206677864025,0.2732199385030042
965.5572,-0.04738631583963446,0.5206995354283344
1009.0508,0.007013756704682128,0.9243059173826336
1012.7449,0.2884434442234002,6.53754959956813e-05
1026.1747,-0.1456504212716324,0.04729970983640937
1060.5697,-0.1357771591973629,0.06462594725980157
1070.0587,-0.028426296753313426,0.7001282389569445
1076.5794,-0.119137444859362,0.10530996054898689
1090.6772,-0.3537278466476821,7.317227008120182e-07
1131.7346,0.018448892385878712,0.8026380445480359
1204.4475,-0.061523677352833976,0.40416531908371767
1211.6372,0.021752649896807526,0.7682218798016205
1218.6945,0.055995713877684206,0.44777635601876065
1235.3286,0.09597280489192618,0.19254713118779107
1244.7405,0.11625693109018213,0.11405933452345886
1346.7876,-0.12180029143817399,0.09769993474334333
1348.7219,-0.14540500958165672,0.04767787426798575
1361.8402,-0.24388332411472333,0.0007950847251531789
1365.8475,-0.08896243344984918,0.22723870378228272
1367.7031,0.2273914792166079,0.0018005898583203944
1381.7977,0.043555371039848745,0.5549950028763044
1389.9229,0.04303166676653816,0.5597669974854499
1449.7698,-0.09187790261734313,0.21230943643510186
1460.902,-0.09990488364465905,0.1748661916294768
1464.7996,-0.35889746663618727,4.896659854954534e-07
1470.6968,0.06244528159217012,0.3971480494087285
1482.814,0.07086781874958624,0.3364507036156096
1490.8921,-0.1441947970075933,0.049579789853367404
1504.8267,0.16259550762822828,0.02660023763910335
1525.9722,0.06322352471867641,0.39127950679101
1530.8737,-0.06074964804840018,0.4101153930082374
1536.8239,-0.22096157540780564,0.002439467834610722
1552.8687,-0.4108487464548819,5.7213596385613594e-09
1559.8882,-0.2839823796061266,8.562867143077388e-05
1562.7805,-0.043647955608356326,0.5541534279392029
1602.9296,-0.06102657082183348,0.4079807398461648
1603.9285,-0.11868019045979393,0.10666244746469893
1605.8702,0.24331413551892253,0.00081860195097848
1614.0015,-0.09247308912917761,0.209350084541097
1617.9226,-0.1890321808991236,0.009765744234957895
1625.8978,0.04212032986551024,0.5681178542556917
1637.863,0.2251589526056981,0.002002697194150602
1638.8765,-0.13473983413387997,0.06671504682564684
1646.9638,-0.15322368191807276,0.03680228415258146
1670.9328,-0.08564737898388573,0.24509849228092262
1687.8643,-0.09639153444155994,0.19060452842966422
1690.9414,-0.11095126847040054,0.13164887688009988
1706.0146,-0.17631691857725032,0.016069980772334055
1706.9667,-0.04054259360137234,0.5827132851988439
1712.9229,-0.23321202540615107,0.0013579846144102944
1718.954,0.30833967904758114,1.8552590633864128e-05
1722.9424,0.07466945450136706,0.31110537730077314
1731.5099,-0.04211249475463754,0.5681899052733512
1734.9651,-0.09086608554722453,0.21740890255006842
1739.9527,0.09487178524592002,0.197723855579363
1744.9006,-0.09664600789548375,0.18943096882332558
1749.9137,-0.05649180798907602,0.44375746775911074
1773.9471,0.025651133508509807,0.7281904241549368
1777.9717,-0.049633831384520176,0.501095702439488
1786.5446,-0.21947833283069434,0.0026133941107687247
1793.0834,-0.20868256322503598,0.0042577878405766914
1793.9957,-0.04511041389457818,0.5409427714321438
1799.9606,-0.1934327821247188,0.008161399860532619
1807.0123,0.0527108511766549,0.47489894923775666
1809.9038,0.0781791654402005,0.2888452460652951
1815.9992,-0.09148111160945348,0.21429891655934394
1818.1012,-0.15332201040008162,0.03668012844288309
1819.0348,0.03795872834761475,0.6069838341448062
1821.0487,0.017478643897539024,0.8128212300647427
1826.0496,-0.06054380752859618,0.41170636760568047
1829.4864,0.07535427031077159,0.3066761302021322
1833.0015,0.12832788039448223,0.08088304490357372
1845.0442,-0.12007746165186246,0.10257195801601207
1847.0453,0.15471070345716398,0.03499118619284897
1865.002,0.011815869370656753,0.8728289109864535
1878.0656,-0.10411134728677898,0.1573138842965831
1880.0807,0.13959202131607337,0.057398767315579524
1881.0277,0.13937756522371397,0.05778656236439685
1888.0103,-0.14129255420702902,0.0543991239892692
1893.0401,-0.007170580356862937,0.9226186555424738
1896.0356,0.008599027985265673,0.9072668489912536
1897.01,0.1404583483499658,0.05585399823170918
1903.052,-0.031406953014960666,0.6704348952321195
1913.0325,0.08041253197032223,0.2752484518160121
1919.998,0.07950369161415594,0.2807282868453721
1922.2037,-0.05089326537513421,0.4902823883279859
1930.11,0.020667143068080845,0.7794836089746575
1932.1022,-0.08470448803899527,0.25035207003240556
1934.0755,0.17850777178509816,0.014780153284427522
1944.9348,-0.25283145126530426,0.0004983227072610932
1948.1376,0.012423337508925904,0.8663503911592362
1949.1739,-0.07701807937187578,0.29608840521502283
1956.0646,-0.018327020862026894,0.8039153541773713
1967.0831,0.1815196044830796,0.01315510255505189
1977.2398,0.1291123816935985,0.07902927314165166
1979.1223,0.004474290984203277,0.9516697030798029
1988.0273,0.17933064075622168,0.014319615550719898
1992.9225,0.22372966505808345,0.002142711834557113
2004.5033,0.11829284685685403,0.10781879904224313
2019.1076,0.022796588143755292,0.7574369582835643
2021.1078,0.15825442505381654,0.030977119368914688
2032.1118,0.055956034776895244,0.44809868240506046
2034.1468,-0.019409693469268647,0.7925866577753227
2036.2348,0.06040859672971409,0.4127534071172514
2037.1394,0.15058313223461664,0.04021354844293973
2043.1093,0.03749769498606678,0.6113610306688346
2047.1528,0.022287373016963576,0.7626919518016413
2049.1561,-0.027737580932476396,0.7070564229045189
2051.1488,-0.046366918752895406,0.5297185892971965
2053.102,0.2427435122599574,0.0008428194585619959
2060.1314,0.03137861080011141,0.6707149387134664
2064.2045,-0.014577413801084552,0.8434521841415265
2065.1356,0.03384343875150211,0.6465337626006691
2074.1862,-0.0891542573362268,0.22623418711726473
2082.0272,-0.23819269729566114,0.0010608675350488885
2093.1818,-0.10692717248350944,0.14632669443943747
2098.1356,-0.07818483388317035,0.28881017786627583
2103.1849,-0.13818813694054002,0.059976771953538885
2104.2168,-0.11717994255377306,0.11119601551732489
2108.1939,0.02632141493050834,0.721377745419896
2115.0748,-0.037952115164149924,0.6070465235583599
2122.2152,0.16746477821551106,0.022331777227169544
2128.1931,-0.05928152131920849,0.4215419183850795
2137.204,-0.06270242665151425,0.39520318153336376
2145.2639,0.011519220855234491,0.8759957092806742
2154.2102,-0.0018214596743124825,0.9803150299628669
2160.27,-0.08359347321690425,0.25664185240899196
2168.2037,0.21517126091410171,0.003184032242667599
2173.2616,-0.004595217767560122,0.9503651293142811
2177.2278,-0.016203244229322296,0.8262547474245768
2181.2364,-0.08682354096922498,0.23865337497069
2185.2003,0.12572228610934022,0.08729258165915485
2188.2684,-0.006912666201734665,0.92539372716881
2194.2479,0.17693950256343907,0.01569382304900237
2210.1108,-0.12937181864143,0.07842382177829019
2246.2817,0.05516150802062097,0.4545803378889577
2249.2899,-0.11647138718254155,0.113388978631946
2272.1731,-0.11748603847414507,0.11025898672154376
2288.2905,-0.12009541172126699,0.1025202263903271
2298.3247,0.028343159589755598,0.7009632642480641
2326.2866,0.023399332579549566,0.7512311202879662
2348.3483,0.025315266303359587,0.7316122136512182
2355.7582,0.15179011854183644,0.038622620909303684
2365.1724,-0.11570142367913662,0.11581015487921016
2484.336,-0.24956122507823839,0.000592263951809282
2517.5504,0.04149477762102946,0.5738839770482791
2561.2633,0.22920915992894048,0.0016499668938353752
2599.4231,0.15269084827890667,0.037470228273029156
2641.6108,0.16390302847327415,0.02539047788226112
2659.2722,0.14917546889710337,0.04213826913867387
2681.2875,-0.042293197738561675,0.5665292798532201
2723.4957,0.06072631265755754,0.41029557364775804
2741.0342,0.14465528973088132,0.048848791119195226
2788.0328,0.1655308935206721,0.023950575447157806
2801.2971,-0.012944010218481565,0.8608045885578753
2816.0255,,
2833.1546,0.12041756823005359,0.10159527577581366
2844.5759,0.11036557666648066,0.13371187360648437
2861.3484,0.07860240918194945,0.2862346458282058
2878.4841,0.06593063566132161,0.3712760624348215
2930.426,0.1092720286614925,0.13762998326227255
2931.4338,0.19714605904484903,0.006994403571406015
2977.5126,0.09225232619615219,0.21044427281819603
2990.5351,0.09673404916077115,0.18902617972030228
3028.5898,-0.08291514954151195,0.2605351068419085
3066.686,0.15873159300833412,0.030467803478327407
3156.5966,0.218035714094867,0.0027932666324178086
3240.5761,0.11684267019706686,0.11223568903340193
3262.5767,0.3150671761123007,1.1865085177262114e-05
3273.6727,0.009009049560324457,0.9028663528318753
3520.8503,0.07151965643788151,0.3320138427458992
3679.7998,0.17846336898183432,0.014805368383157404
3954.052,0.007184751464287566,0.9224662058433958
3970.0425,0.13483430818337752,0.06652252806921963
4280.1817,0.08948393020307557,0.22451515157067392
